"filename", "language", "JavaScript", "TypeScript", "Vue", "SCSS", "comment", "blank", "total"
"g:\scoi\webclient\src\ClientApp.vue", "Vue", 0, 0, 121, 0, 0, 1, 122
"g:\scoi\webclient\src\components\AddFriends.vue", "Vue", 0, 0, 137, 0, 0, 3, 140
"g:\scoi\webclient\src\components\Chat.vue", "Vue", 0, 0, 61, 0, 0, 3, 64
"g:\scoi\webclient\src\components\ChatManager.vue", "Vue", 0, 0, 135, 0, 0, 3, 138
"g:\scoi\webclient\src\components\FriendItem.vue", "Vue", 0, 0, 66, 0, 0, 1, 67
"g:\scoi\webclient\src\components\Friendlist.vue", "Vue", 0, 0, 74, 0, 3, 2, 79
"g:\scoi\webclient\src\components\FullTextEditor.vue", "Vue", 0, 0, 143, 0, 0, 12, 155
"g:\scoi\webclient\src\components\GroupList.vue", "Vue", 0, 0, 18, 0, 0, 1, 19
"g:\scoi\webclient\src\components\HelloWorld.vue", "Vue", 0, 0, 55, 0, 1, 4, 60
"g:\scoi\webclient\src\components\LoginView.vue", "Vue", 0, 0, 221, 0, 0, 3, 224
"g:\scoi\webclient\src\components\MainView.vue", "Vue", 0, 0, 110, 0, 0, 1, 111
"g:\scoi\webclient\src\components\Menu.vue", "Vue", 0, 0, 71, 0, 0, 2, 73
"g:\scoi\webclient\src\components\Notice.vue", "Vue", 0, 0, 61, 0, 0, 3, 64
"g:\scoi\webclient\src\components\NoticeList.vue", "Vue", 0, 0, 54, 0, 0, 1, 55
"g:\scoi\webclient\src\components\SpeakBubbles.vue", "Vue", 0, 0, 120, 0, 0, 2, 122
"g:\scoi\webclient\src\components\Topbar.vue", "Vue", 0, 0, 54, 0, 0, 1, 55
"g:\scoi\webclient\src\element-variables.scss", "SCSS", 0, 0, 0, 3, 6, 2, 11
"g:\scoi\webclient\src\lib\Friend.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 14
"g:\scoi\webclient\src\lib\NewMessageEvent.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 5
"g:\scoi\webclient\src\lib\axiosutil.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 5
"g:\scoi\webclient\src\lib\axiosutil.js", "JavaScript", 47, 0, 0, 0, 0, 3, 50
"g:\scoi\webclient\src\lib\messagedatabase.ts", "TypeScript", 0, 46, 0, 0, 0, 4, 50
"g:\scoi\webclient\src\lib\messagemanager.ts", "TypeScript", 0, 33, 0, 0, 0, 5, 38
"g:\scoi\webclient\src\lib\postbutton.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 2
"g:\scoi\webclient\src\lib\postbutton.js", "JavaScript", 33, 0, 0, 0, 4, 6, 43
"g:\scoi\webclient\src\lib\sessionmanager.js", "JavaScript", 75, 0, 0, 0, 0, 3, 78
"g:\scoi\webclient\src\lib\util.js", "JavaScript", 151, 0, 0, 0, 0, 18, 169
"g:\scoi\webclient\src\lib\websocketutil.js", "JavaScript", 88, 0, 0, 0, 1, 2, 91
"g:\scoi\webclient\src\main.ts", "TypeScript", 0, 15, 0, 0, 1, 0, 16
"g:\scoi\webclient\src\plugins\unicon.d.ts", "TypeScript", 0, 2, 0, 0, 0, 1, 3
"g:\scoi\webclient\src\plugins\unicon.js", "JavaScript", 11, 0, 0, 0, 0, 0, 11
"g:\scoi\webclient\src\shims-vue.d.ts", "TypeScript", 0, 5, 0, 0, 1, 1, 7
"Total", "-", 405, 127, 1501, 3, 17, 88, 2141
